Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
23600000,2250,Sector 34,0,1,0,0,,,0,0,0,,0,,0,0,0
42500000,5400,Sector 21,0,1,0,0,,,0,0,0,,0,,0,0,0
25000000,4500,Sector 69,0,0,0,0,,,0,1,0,,0,,0,0,0
4750000,1325,Lohgarh,0,1,0,1,,,0,0,0,,0,,0,0,0
7500000,2250,Togan,0,1,0,0,,,0,0,0,,0,,0,0,0
12500000,2250,Sector 59,0,0,0,0,,,0,0,0,,0,,0,0,0
3090000,1035,Sunny Enclave,0,1,0,0,,,0,0,0,,0,,0,0,0
3600000,1300,Dhakoli,0,1,0,0,,,0,1,0,1.0,0,,0,0,0
3090000,1200,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
2420000,990,Dera Bassi,0,1,1,0,1.0,1.0,1,1,1,1.0,0,1.0,0,1,1
7020000,1772,Dhakoli,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
3590000,1080,Patiala Road Zirakpur,0,1,1,0,1.0,1.0,1,1,1,1.0,0,1.0,0,1,1
5800000,1450,Dhakoli,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
6350000,1800,Lohgarh,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
23500000,2250,Sector 15,0,1,0,0,,,0,0,0,,0,,0,0,0
5700000,1180,New chandigarh mohali,0,0,1,0,,,0,0,1,,0,,0,0,1
2790000,855,Dhakoli,0,1,0,0,,,0,1,0,,0,,0,0,0
2750000,900,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
7500000,1350,Sector 79,0,1,0,0,,,0,0,0,,0,,0,0,0
7890000,2250,Togan,0,1,1,1,,,0,1,1,,0,,0,0,1
3290000,900,Mohali Sector 127,0,1,1,0,1.0,1.0,1,1,1,1.0,0,1.0,0,1,0
4729000,1395,Omaxe New Chandigarh,0,1,1,1,1.0,1.0,1,1,1,1.0,0,1.0,0,1,1
